Country,Year,GDP,Consumption,Public_Consumption,Public_Investment,Private_Investment,Debt,Taxes,Wages,Private_Capital,Public_Capital,DebttoGDP
Germany,2024,3.3141201329025733e6,1.7006836520647362e6,728653.6724288404,101278.49826216104,678079.4965626004,2.0622714397268454e6,1.5498323406470576e6,1.8006078608503926e6,6.953043251185808e6,1.4196827696221299e6,0.8128191169825618
Greece,1995,150957.17294640766,101785.63070442314,27238.912941727125,5976.187690147438,31650.772291130357,147368.35946641705,55522.466651064824,43994.99765972385,247230.62068109523,67983.02968587128,0.6674263834800943
Greece,1996,153043.91095115404,103096.94218368712,27582.102981473152,6450.860905484438,33835.56228102464,156714.5174703148,57842.89667770917,44504.79189671861,245318.17633952023,68447.4428314232,0.7511229900331633
Greece,1997,158557.576542171,105048.22318596672,28925.626254126477,6425.3997022461,34232.506958379185,161278.91772930283,61585.9926208816,47574.85921418861,246193.39922385835,69674.33853185769,0.7857076446098803
Greece,1998,164008.09823048406,109304.94570504561,29687.376751768203,8634.738253621856,40204.296269029524,165818.2367943628,65966.92346120474,50081.24523440171,248657.85874305997,71197.05229678765,0.7690553171511385
Greece,1999,168368.59026483353,111776.39891414488,31477.16326607203,9513.116579306203,42742.03435205224,170775.11039943955,70659.01897744474,52697.249083653376,255962.95547703814,74633.16301539181,0.8107955277482228
Greece,2000,175335.33482597192,113955.95868105028,33211.25076328109,9190.28597598209,45477.305108894776,188552.05577040504,77051.06350498677,55290.301241603906,265309.89502532926,78945.18650235349,0.845334456669056
Greece,2001,183488.73097457472,119368.66078428933,35447.33861834655,11256.580339253047,46969.87044665414,202818.81199208493,76747.60120966237,57529.52596667206,276923.67337098223,83198.80247176776,0.8881798851319225
Greece,2002,192080.33652858195,124466.13560264485,37992.43294208662,9683.658297774607,45860.84349728625,207199.5841744533,78587.4019364899,64083.91456235569,289057.5076330806,89270.98312559155,0.8923870246056854
Greece,2003,203216.99544764796,129064.66674448464,39591.45558538578,12415.081125248045,50556.32076572896,211871.1334189331,80945.4885023929,67999.06618419517,299470.50891532627,93265.94280903187,0.8931831690561529
