DATAFLOW,LAST UPDATE,freq,unit,sector,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2015,20024.9,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2016,20329.8,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2017,19597.2,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2018,21964.6,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2019,21597.5,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2020,25417.3,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2021,24776.0,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2022,23813.2,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2023,23079.6,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2024,21822.8,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,1995,6199.8,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,1996,6183.8,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,1997,6320.3,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,1998,8551.9,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,1999,9475.2,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2000,11567.8,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2001,18322.2,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2002,22013.9,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2003,24530.7,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2004,28673.0,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2005,31385.6,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2006,35405.0,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2007,39606.2,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2008,42298.6,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2009,49824.4,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2010,59059.8,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2011,62576.1,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2012,71778.7,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2013,67096.2,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2014,65581.0,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2015,67943.9,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2016,64939.8,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2017,68520.7,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2018,67431.3,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2019,68492.7,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2020,81916.6,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2021,103256.6,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2022,124300.6,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2023,130808.2,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2024,138513.8,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,1995,1082715.0,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,1996,1118506.9,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,1997,1145211.6,,
