DATAFLOW,LAST UPDATE,freq,unit,nace_r2,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Belgium,1999,122964.3,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Belgium,2000,128563.6,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Belgium,2001,135709.6,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Belgium,2002,141984.8,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Belgium,2003,144668.6,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Belgium,2004,148850.7,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Belgium,2005,153985.4,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Belgium,2006,161393.2,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Belgium,2007,170105.6,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Belgium,2008,179628.2,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Belgium,2009,181009.7,b,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Belgium,2010,184886.4,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Belgium,2011,193278.5,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Belgium,2012,199851.0,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Belgium,2013,203695.9,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Belgium,2014,206318.0,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Belgium,2015,208238.0,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Belgium,2016,212286.1,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Belgium,2017,219529.6,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Belgium,2018,226729.6,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Belgium,2019,234996.0,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Belgium,2020,230892.4,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Belgium,2021,245706.8,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Belgium,2022,269295.2,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Belgium,2023,291564.8,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Belgium,2024,301766.6,p,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Bulgaria,1995,4321.9,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Bulgaria,1996,2957.2,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Bulgaria,1997,3156.6,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Bulgaria,1998,4689.2,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Bulgaria,1999,4780.2,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Bulgaria,2000,5117.8,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Bulgaria,2001,5669.2,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Bulgaria,2002,6026.1,,
